Date,Port Arthur-Houston,Port Arthur-Greenville,Pasadena-Greenville,Greenville-Glenpool,Port Arthur-Glenpool,Pasadena-Glenpool,Port Arthur-Wood River,Glenpool-Wood River,Wood River-Hammond,Glenpool-Hammond Area,HOUSTON - HMD TRANSIT,STORAGE,DAYS
2025-01-07,0.90,3.9,2.95,4.1,7.9,7.0,14.1,6.0,5.9,11.9,18.9,1,19.9
2025-01-17,0.87,3.6,2.70,3.6,7.2,6.3,12.4,5.1,4.1,9.2,15.5,1,16.5
2025-01-24,0.83,3.6,2.80,3.9,7.6,6.7,13.0,5.3,4.3,9.6,16.3,1,17.3
2025-02-05,1.11,4.0,2.87,3.7,7.6,6.5,12.9,5.3,4.1,9.4,15.9,1,16.9
2025-02-13,1.06,4.1,3.06,4.0,8.1,7.1,14.0,6.0,5.3,11.2,18.3,1,19.3
2025-03-05,1.03,3.9,2.84,4.0,7.8,6.8,13.4,5.6,4.0,9.6,16.4,1,17.4
2025-03-27,1.02,4.1,3.04,4.7,8.8,7.7,15.5,6.8,7.8,14.6,22.3,1,23.3
2025-04-03,0.96,3.6,2.62,3.5,7.1,6.1,12.7,5.6,3.5,9.1,15.2,1,16.2
2025-04-10,0.98,3.5,2.50,3.4,6.9,5.9,13.1,6.2,4.6,10.8,16.7,1,17.7
2025-04-17,0.93,3.3,2.37,3.2,6.5,5.6,12.3,5.7,4.3,10.0,15.5,1,16.5
2025-04-23,0.94,3.4,2.44,3.4,6.8,5.9,13.1,6.2,5.5,11.7,17.6,1,18.6
2025-05-02,0.87,3.1,2.23,3.0,6.1,5.2,11.7,5.5,3.2,8.8,13.9,1,14.9
2025-05-07,0.83,3.0,2.15,2.9,5.8,5.0,11.2,5.2,3.2,8.4,13.4,1,14.4
2025-05-15,0.83,3.0,2.18,3.0,6.0,5.1,11.6,5.5,4.2,9.7,14.8,1,15.8
2025-05-21,0.84,3.0,2.14,2.9,5.9,5.0,11.4,5.4,4.1,9.5,14.5,1,15.5
2025-05-29,0.83,2.7,1.88,2.4,5.1,4.3,9.5,4.2,3.1,7.3,11.6,1,12.6
2025-06-04,0.87,3.2,2.29,3.0,6.2,5.3,11.0,4.7,2.8,7.5,12.8,1,13.8
2025-06-12,0.97,3.3,2.36,3.1,6.5,5.5,11.5,5.0,4.5,9.6,15.1,1,16.1
2025-06-19,0.95,3.1,2.16,2.8,5.9,4.9,10.3,4.4,3.7,8.0,13.0,1,14.0
